20210604|||||
|Homens||Mulheres||Total PF
Ano|Qtd|%|Qtd|%|Qtd
2021|2707331|72.42|1030872|27.58|3738203
2020|2382966|73.76|847585|26.24|3230551
2019|1277424|76.67|388658|23.33|1666082
2018|634269|77.94|179511|22.06|813780
2017|478258|77.12|141855|22.88|620113
2016|434141|76.90|130387|23.10|564528
2015|424977|76.23|132545|23.77|557522
2014|426650|75.57|137912|24.43|564562
2013|440727|74.79|148548|25.21|589275
2012|438600|74.70|148563|25.30|587163
2011|437287|74.98|145914|25.02|583201
*Posição em 31/05/2021|||||
